PassengerCount,TripDurationSeconds,TripDistanceMiles,PaymentType,FareAmount,TaxAmount,ZipCodeBKey,City,State,TripDate
1,1747,13.4,CRD,127,0,10002-2912,Manhattan,NY,2013-02-07
1,1674,18.9,CRD,69,0,10001-1846,Manhattan,NY,2013-10-13
1,1496,14.9,CRD,59,0,10012-4441,Manhattan,NY,2013-04-13
1,2880,16.74,CRD,70,0,10019-1511,New York,NY,2013-07-07
1,2254,17.9,CRD,70,0,10010-4201,Manhattan,NY,2013-12-03
1,3345,17.3,CRD,74,0,10017-5659,Manhattan,NY,2013-04-26
1,2460,29.2,CRD,95,0,10128-1115,Flushing,NY,2013-12-15
1,2160,18.94,CRD,71,0,10019-1511,New York,NY,2013-07-21
1,4201,18.1,CRD,81,0,11222-3933,Brooklyn,NY,2013-04-14
1,1585,15.4,CRD,61,0,10013-4982,Manhattan,NY,2013-08-04
1,1560,20.67,CRD,72,0,10011-8412,Manhattan,NY,2013-12-29
1,1912,19.8,CRD,72,0,10016-5508,Manhattan,NY,2013-09-28
1,1560,20.62,CRD,72,0,10001-5950,Greeley Square,NY,2013-04-05
1,2400,17.42,CRD,68,0,10019-6000,New York,NY,2013-01-31
1,2160,20.68,CRD,75,0,10022-6844,Manhattan,NY,2013-11-30
1,2177,1,CRD,67,0,10036-1409,Manhattan,NY,2013-05-17
1,1439,16.9,CRD,63,0,10036-2259,New York,NY,2013-02-13
1,2106,20.9,CRD,76,0,10003-1513,Manhattan,NY,2013-11-16
1,2760,21.43,CRD,78,0,10025-5328,Manhattan,NY,2013-11-05
1,1128,13.4,CRD,55,0,10013-2362,Manhattan,NY,2013-08-27
1,2581,21.2,CRD,78,0,10017-6209,New York,NY,2013-01-30
1,2743,19.2,CRD,75,0,10017-5452,New York,NY,2013-07-11
1,2460,18.36,CRD,71,0,10017-5901,Manhattan,NY,2013-10-09
1,2350,18,CRD,70,0,10023-7704,New York,NY,2013-10-10
1,1560,13.16,CRD,54,0,10014-4904,Prince,NY,2013-02-11
1,1980,19.9,CRD,73,0,10036-1543,Manhattan,NY,2013-07-07
1,1500,17.33,CRD,64,0,10001-3412,New York,NY,2013-10-26
1,1466,14.2,CRD,57,0,10017-5506,Manhattan,NY,2013-10-13
1,3392,18.9,CRD,79,0,10021-2618,Manhattan,NY,2013-08-02
1,2940,20.66,CRD,80,0,10022-6960,Manhattan,NY,2013-07-23
1,1920,20.18,CRD,73,0,10019-1101,Manhattan,NY,2013-03-13
1,1800,19.31,CRD,71,0,10036-1512,Manhattan,NY,2013-06-13
1,3720,36.75,CRD,115,0,11430-1002,Springfield Gardens,NY,2013-07-29
1,1800,15.44,CRD,60,0,10281-1035,Manhattan,NY,2013-10-19
1,1620,16.13,CRD,62,0,10017-2935,Grand Central,NY,2013-12-25
1,1483,14.6,CRD,59,0,10004-2390,Brooklyn Heights,NY,2013-05-18
1,2040,19.54,CRD,71,0,10024-4735,Manhattan,NY,2013-02-01
1,1645,19.8,CRD,70,0,10014-1106,Manhattan,NY,2013-09-22
1,1860,15.8,CRD,61,0,10011-6687,Manhattan,NY,2013-02-12
1,1020,12.89,CRD,75,0,10014-4932,Prince,NY,2013-09-11
1,1800,16.39,CRD,62,0,10001-3986,New York,NY,2013-04-10
1,1500,17.33,CRD,65,0,10017-5614,New York,NY,2013-08-11
1,2243,18.6,CRD,70,0,10024-4326,Planetarium,NY,2013-07-30
1,1800,17.65,CRD,67,0,10017-5508,Manhattan,NY,2013-03-06
1,1800,14.04,CRD,57,0,10011-4011,Manhattan,NY,2013-10-26
1,1140,13.65,CRD,55,0,10012-2317,Prince,NY,2013-11-24
1,1500,16.67,CRD,63,0,10036-1000,Weehawken,NY,2013-03-21
1,1320,14.26,CRD,57,0,10004-7440,Jersey City,NY,2013-11-09
1,2100,17.07,CRD,66,0,10001-2026,New York,NY,2013-08-19
1,2656,20.3,CRD,76,0,10026-4289,Morningside,NY,2013-11-30
1,1640,13.7,CRD,56,0,10012-4066,Manhattan,NY,2013-06-07
1,1327,13.5,CRD,55,0,10014-6330,Prince,NY,2013-10-09
1,2700,20.55,CRD,77,0,10017-1297,Manhattan,NY,2013-06-12
1,2340,17.13,CRD,68,0,10021-2645,Manhattan,NY,2013-11-18
1,2198,16.6,CRD,65,0,10001-7796,Manhattan,NY,2013-04-27
1,2640,18.29,CRD,71,0,10019-3304,New York,NY,2013-06-14
1,1620,18.46,CRD,68,0,10001-6899,New York,NY,2013-11-28
1,1535,17.3,CRD,64,0,10023-7891,New York,NY,2013-02-17
1,3360,13.76,CRD,67,0,10011-8442,Prince,NY,2013-11-27
1,1740,15.64,CRD,61,0,10007-3113,Manhattan,NY,2013-03-20
1,1944,18.5,CRD,70,0,10011-4262,Manhattan,NY,2013-11-12
1,1200,14,CRD,56,0,10003-3202,Manhattan,NY,2013-03-27
1,1569,17.7,CRD,66,0,10019-5810,New York,NY,2013-02-10
1,2160,19.62,CRD,74,0,10019-6801,Manhattan,NY,2013-02-06
1,2460,13.4,CRD,62,0,10014-4402,Prince,NY,2013-08-21
1,1500,17.63,CRD,65,0,10011-1698,Manhattan,NY,2013-08-11
1,1920,13.55,CRD,59,0,10014-2837,Prince,NY,2013-11-17
1,2700,19.69,CRD,75,0,10016-3732,Manhattan,NY,2013-05-02
1,2460,20.23,CRD,74,0,10128-1209,New York,NY,2013-02-23
1,1980,18.04,CRD,68,0,10019-1837,Manhattan,NY,2013-03-03
1,1399,14.6,CRD,58,0,10006-2501,Brooklyn Heights,NY,2013-09-08
1,2280,13.31,CRD,61,0,10014-4438,Prince,NY,2013-11-17
1,2160,17.96,CRD,69,0,10024-1721,Planetarium,NY,2013-06-23
1,1500,16.12,CRD,62,0,10280-1103,Jersey City,NY,2013-07-19
1,1440,13.9,CRD,56,0,10012-2458,Prince,NY,2013-05-11
1,2674,17,CRD,80,0,10065-7402,New York,NY,2013-06-01
1,1524,16,CRD,62,0,10280-1303,Jersey City,NY,2013-10-29
1,2510,18.6,CRD,73,0,10022-4864,Franklin D Roosevelt,NY,2013-01-27
1,1740,15.51,CRD,61,0,10007-1017,Manhattan,NY,2013-02-07
1,1800,18.99,CRD,70,0,10010-6521,Manhattan,NY,2013-11-01
1,1920,19.8,CRD,71,0,10021-4135,Manhattan,NY,2013-04-29
1,1641,18,CRD,66,0,10022-7564,New York,NY,2013-05-30
1,1260,13.9,CRD,56,0,10002-5354,Manhattan,NY,2013-10-30
1,2460,20.19,CRD,75,0,10025-7717,New York,NY,2013-11-03
1,1140,13.57,CRD,55,0,10014-2329,Manhattan,NY,2013-06-20
1,2694,21.3,CRD,79,0,10019-3304,New York,NY,2013-03-12
1,1560,14.46,CRD,58,0,10004-2105,Brooklyn Heights,NY,2013-06-19
1,1740,18.13,CRD,67,0,10022-6845,New York,NY,2013-11-06
1,3060,15.52,CRD,71,0,10012-4436,Manhattan,NY,2013-04-09
1,1440,16.75,CRD,63,0,10036-3054,New York,NY,2013-08-26
1,4500,21.14,CRD,90,0,10019-1562,New York,NY,2013-09-05
1,1680,21.45,CRD,74,0,10019-8760,Manhattan,NY,2013-10-11
1,1440,16.93,CRD,63,0,10036-3706,New York,NY,2013-08-09
1,3837,15.3,CRD,75,0,10011-6600,Manhattan,NY,2013-02-22
1,3339,14,CRD,69,0,10011-1803,Manhattan,NY,2013-11-15
1,1940,19.5,CRD,71,0,10003-8725,Manhattan,NY,2013-10-07
1,4560,18.17,CRD,87,0,10023-6123,Manhattan,NY,2013-07-26
1,1440,15.25,CRD,60,0,10003-2915,Manhattan,NY,2013-11-07
1,2340,17.91,CRD,69,0,10022-6960,Manhattan,NY,2013-08-26
1,1242,13.8,CRD,55,0,10014-1517,Manhattan,NY,2013-07-12
1,2528,18.6,CRD,71,0,10016-9606,Manhattan,NY,2013-03-02
1,1688,16.4,CRD,63,0,10017-3517,Manhattan,NY,2013-04-25
1,1364,13.9,CRD,56,0,10011-4943,Manhattan,NY,2013-02-05
1,1237,13.3,CRD,55,0,10012-1332,Prince,NY,2013-06-20
1,1683,25,CRD,83,0,10031-8038,Manhattanville,NY,2013-06-06
1,1520,17.2,CRD,65,0,10005-2891,Brooklyn Heights,NY,2013-03-21
1,1274,13.7,CRD,56,0,10011-7707,Manhattan,NY,2013-05-17
1,3060,37.88,CRD,116,0,11430-0672,Springfield Gardens,NY,2013-02-22
1,1620,17.69,CRD,66,0,10016-7320,Manhattan,NY,2013-10-07
1,2820,14.18,CRD,66,0,10003-4703,Manhattan,NY,2013-01-23
1,1110,16.8,CRD,62,0,10013-1476,Manhattan,NY,2013-12-04
1,2252,19.8,CRD,72,0,11201-6556,Brooklyn,NY,2013-12-04
1,1620,18.47,CRD,67,0,10016-8103,Manhattan,NY,2013-02-06
1,1702,20.2,CRD,72,0,10025-3947,Manhattan,NY,2013-11-07
1,1871,18.2,CRD,69,0,10016-8572,Manhattan,NY,2013-02-11
1,3417,26.7,CRD,84,0,10019-5810,New York,NY,2013-04-18
1,1491,15.7,CRD,60,0,10017-5614,New York,NY,2013-12-05
1,1440,18.97,CRD,68,0,10036-2004,New York,NY,2013-08-05
1,4190,18.2,CRD,84,0,10105-0010,New York,NY,2013-07-02
1,1800,17.55,CRD,66,0,10001-6807,New York,NY,2013-02-06
1,3890,20,CRD,83,0,10169-0003,New York,NY,2013-09-27
1,2296,17.3,CRD,65,0,10019-5081,New York,NY,2013-03-18
6,1560,17.68,CRD,65,0,10011-4704,Manhattan,NY,2013-05-15
5,1860,18.82,CRD,69,0,10024-5941,Manhattan,NY,2013-03-11
2,1740,19.55,CRD,71,0,10001-1201,Manhattan,NY,2013-01-15
6,2940,14.09,CRD,64,0,10002-1456,Manhattan,NY,2013-07-25
3,3302,14.9,CRD,70,0,10016-8805,Manhattan,NY,2013-05-30
4,2566,24,CRD,64,1,10016-8713,Manhattan,NY,2013-10-28
2,2447,19.7,CRD,76,0,10017-8513,New York,NY,2013-05-09
2,2400,17.66,CRD,68,0,10017-5602,New York,NY,2013-03-18
2,1885,17.1,CRD,66,0,11238-59ND,Brooklyn,NY,2013-06-16
2,4140,21.7,CRD,85,0,10017-6721,Manhattan,NY,2013-04-18
6,1980,17.76,CRD,66,0,10016-1726,Manhattan,NY,2013-04-04
2,2464,18.9,CRD,72,0,10021-4656,Manhattan,NY,2013-09-12
6,4200,19.7,CRD,80,0,10150-1137,Manhattan,NY,2013-12-20
2,1320,14.21,CRD,56,0,10003-9510,Manhattan,NY,2013-05-24
6,2580,16.37,CRD,67,0,10003-5513,Manhattan,NY,2013-07-09
3,2700,13.84,UNK,64,0,10011-1803,Manhattan,NY,2013-09-29
2,1620,17.27,CRD,64,0,10036-1409,Manhattan,NY,2013-05-12
1,1560,17.88,CRD,66,0,10023-2864,Manhattan,NY,2013-09-29
1,2327,19.3,CRD,73,0,10001-4533,Manhattan,NY,2013-10-23
1,0,0,CRD,85,1,07114-3786,Newark,NJ,2013-11-08
2,1998,17.5,NOC,65,0,10028-1497,Flushing,NY,2013-11-01
3,1713,19.2,CRD,70,0,10025-5363,Manhattan,NY,2013-06-10
2,2093,18.7,CRD,69,0,10022-1726,New York,NY,2013-08-06
5,1620,18.07,CRD,67,0,10017-5722,Manhattan,NY,2013-12-02
2,1375,13.5,CRD,56,0,10002-4996,Manhattan,NY,2013-06-12
1,2238,18.3,CSH,69,0,10065-8402,New York,NY,2013-02-20
1,2160,18.16,CSH,68,0,10016-8204,Manhattan,NY,2013-01-08
1,1440,17.98,CSH,65,0,10019-6012,New York,NY,2013-02-08
1,4740,16.03,CSH,84,0,10011-5130,Manhattan,NY,2013-06-24
5,2160,17.09,CSH,67,0,10019-7921,Manhattan,NY,2013-09-17
1,2160,13.58,CSH,60,0,10007-2919,Manhattan,NY,2013-08-15
2,1680,16.54,CSH,63,0,10005-1968,Brooklyn Heights,NY,2013-08-28
6,4200,15.34,CSH,77,0,10036-6889,New York,NY,2013-02-15
1,2280,17.97,CSH,70,0,10019-3866,New York,NY,2013-02-27
1,2520,18.08,CSH,71,0,10020-2207,New York,NY,2013-09-18
1,1620,16.27,CSH,62,0,10036-3031,New York,NY,2013-08-05
1,3360,20.75,CSH,80,0,10019-1108,Manhattan,NY,2013-12-23
2,1140,14.53,CSH,57,0,10001-7796,Manhattan,NY,2013-05-19
2,4200,13.16,CSH,80,1,10014-4065,Prince,NY,2013-07-19
1,4020,16.55,CSH,80,0,10013-5196,Manhattan,NY,2013-11-28
1,2531,19.2,CSH,74,0,10028-0116,Flushing,NY,2013-08-24
2,1620,13.94,CSH,57,0,10002-2262,Manhattan,NY,2013-08-01
2,2340,22.69,CSH,82,0,10023-2626,Manhattan,NY,2013-07-29
1,2280,14.1,CSH,62,0,10011-2706,Manhattan,NY,2013-08-28
3,2028,18.4,CSH,69,0,10065-8402,New York,NY,2013-02-18
1,1775,14.5,CSH,41,1,10004-1078,Jersey City,NY,2013-02-06
3,1800,15.89,CSH,45,1,10012-4677,Manhattan,NY,2013-10-29
4,2349,17.8,CSH,51,1,10017-3175,New York,NY,2013-05-27
4,2367,18.7,CSH,71,0,10011-7174,Manhattan,NY,2013-02-17
5,2100,18.11,CSH,69,0,10019-1534,New York,NY,2013-01-30
2,1980,18.28,CSH,69,0,10024-5941,Manhattan,NY,2013-08-31
2,1620,17.23,CSH,65,0,10023-7098,Manhattan,NY,2013-09-22
2,2162,18.3,CSH,70,0,10022-2050,New York,NY,2013-09-07
4,3120,26.92,CSH,90,0,10020-2400,New York,NY,2013-02-09
5,3120,19.06,CSH,73,0,10016-6043,Manhattan,NY,2013-07-03
3,2520,17.24,CSH,69,0,10019-7434,Manhattan,NY,2013-12-02
2,2400,14.95,CSH,63,0,10001-3813,Manhattan,NY,2013-11-14
4,1954,17.5,CSH,67,0,10036-2048,New York,NY,2013-04-28
3,1636,16.9,CSH,64,0,10018-7570,Manhattan,NY,2013-04-14
3,1560,14.72,CSH,59,0,10001-7637,Manhattan,NY,2013-01-15
3,2445,18.1,CSH,71,0,10172-0011,New York,NY,2013-09-01
6,1680,16.67,CSH,63,0,10036-7106,Manhattan,NY,2013-02-15
6,2340,17.62,CSH,69,0,10019-6017,New York,NY,2013-05-08
2,1920,15.44,CSH,62,0,11201-2804,Brooklyn,NY,2013-08-15
2,1560,19.06,CSH,69,0,10018-1436,Manhattan,NY,2013-09-15
2,2122,14.4,CSH,62,0,10003-3642,Manhattan,NY,2013-01-06
6,3000,14.64,CSH,66,0,10003-2160,Manhattan,NY,2013-05-20
3,2280,17.63,CSH,68,0,10019-6032,New York,NY,2013-09-02
3,2834,19.8,CSH,74,0,10019-6017,New York,NY,2013-10-02
2,1948,17.8,CSH,69,0,10017-3814,New York,NY,2013-12-07
2,2280,17.57,CSH,68,0,10019-6000,New York,NY,2013-05-01
1,1980,18.32,CSH,68,0,10023-3946,Manhattan,NY,2013-11-10
1,1680,17.75,CSH,67,0,10105-0108,New York,NY,2013-09-01
1,3181,16.3,CSH,74,0,10005-2005,Brooklyn Heights,NY,2013-07-14
1,2368,19.9,CSH,74,0,10017-4486,Manhattan,NY,2013-11-03
1,2520,18.4,CSH,72,0,10019-1613,New York,NY,2013-05-09
1,1911,17.6,CSH,67,0,10019-5187,Manhattan,NY,2013-05-11
1,1500,18.28,CSH,67,0,10019-2207,New York,NY,2013-02-10
1,2280,19.96,CSH,74,0,10017-4006,Manhattan,NY,2013-01-22
1,1560,17.29,CSH,65,0,10036-1422,Manhattan,NY,2013-09-08
1,1800,16.26,CSH,64,0,10036-6999,Manhattan,NY,2013-09-14
1,1980,19.18,CSH,70,0,10023-1791,Manhattan,NY,2013-06-21
1,2040,15.94,CSH,65,0,10005-1406,Brooklyn Heights,NY,2013-02-13
1,2040,14.13,CSH,59,0,10003-4731,Manhattan,NY,2013-06-18
1,2295,18,CSH,75,0,10022-6809,New York,NY,2013-03-11
1,1597,16.6,CSH,63,0,10001-7505,Manhattan,NY,2013-06-19
1,2760,18.32,CSH,70,0,10019-1629,New York,NY,2013-06-14
1,1789,18.1,CSH,67,0,10019-5403,New York,NY,2013-07-15
1,1920,19.56,CSH,72,0,10019-6702,Manhattan,NY,2013-05-06
1,1786,17.5,CSH,66,0,10019-1203,Manhattan,NY,2013-03-21
1,2040,32.3,CSH,101,0,11369-1222,Queens,NY,2013-02-17
1,2197,18.3,CSH,69,0,10003-1657,Manhattan,NY,2013-10-13
1,1894,16,CSH,63,0,10280-1068,Jersey City,NY,2013-08-04
1,1800,18.83,CSH,69,0,10024-6224,Manhattan,NY,2013-04-27
1,2385,19.3,CSH,73,0,10003-6643,Manhattan,NY,2013-04-17
1,1602,18.2,CSH,66,0,10019-2505,New York,NY,2013-09-02
1,2848,18.4,CSH,74,0,10019-1629,New York,NY,2013-04-17
1,1440,14.3,CSH,57,0,10011-2222,Manhattan,NY,2013-12-31
1,1762,19.8,CSH,72,0,10025-2840,Manhattan,NY,2013-04-28
1,2760,23.16,CSH,82,0,10019-6731,Manhattan,NY,2013-06-03
1,2452,18.3,CSH,70,0,10022-6508,New York,NY,2013-12-12
1,1696,17,CSH,65,0,10165-0034,New York,NY,2013-01-22
1,2025,18.2,CSH,68,0,10023-1930,Manhattan,NY,2013-09-08
1,1380,18.92,CSH,67,0,10001-2803,Manhattan,NY,2013-06-05
1,1920,18.12,CSH,67,0,10011-4900,Manhattan,NY,2013-03-30
1,4193,22,CSH,90,0,10044-0024,Manhattan,NY,2013-04-06
1,1294,17,CSH,63,0,10001-2755,Manhattan,NY,2013-01-19
1,1157,13.2,CSH,54,0,10012-1563,Prince,NY,2013-03-17
1,2497,21,CSH,77,0,10017-5705,Manhattan,NY,2013-03-08
1,2179,20.3,CSH,75,0,10172-0011,New York,NY,2013-04-21
3,1585,14.9,CSH,59,0,10001-4433,Manhattan,NY,2013-05-22
3,2760,18.83,CSH,74,0,10017-1259,New York,NY,2013-04-18
2,1779,17.4,CSH,67,0,10001-2026,New York,NY,2013-06-09
2,2160,18.1,CSH,70,0,10022-6844,Manhattan,NY,2013-12-04
4,2569,16.7,CSH,67,0,10028-5999,Manhattan,NY,2013-08-31
6,2100,18.02,CSH,69,0,10019-6995,New York,NY,2013-04-25
3,2252,19.5,CSH,74,0,10001-2905,Manhattan,NY,2013-09-22
5,2040,17.65,CSH,68,0,10036-2709,New York,NY,2013-08-27
2,1800,22.61,CSH,77,0,10019-1562,New York,NY,2013-12-29
2,1620,17.47,CSH,65,0,10019-7465,Manhattan,NY,2013-04-08
6,3180,18.57,CSH,75,0,10017-1297,Manhattan,NY,2013-12-28
2,2285,21.3,CSH,77,0,10031-8336,Manhattanville,NY,2013-11-28
2,1800,15.39,CSH,60,0,10012-3256,Manhattan,NY,2013-03-21
2,2334,17.4,CSH,68,0,10019-7465,Manhattan,NY,2013-04-02
2,3840,18.01,CSH,79,0,10019-5503,New York,NY,2013-07-03
4,2160,18.7,CSH,70,0,10017-1223,New York,NY,2013-02-18
2,2151,19.7,CSH,73,0,10017-5673,Manhattan,NY,2013-02-07
3,2069,17.5,CSH,66,0,10036-1411,Manhattan,NY,2013-04-23
2,1727,16,CSH,62,0,10022-7408,Manhattan,NY,2013-11-19
1,3300,20.31,CSH,78,0,10025-8452,Manhattan,NY,2013-11-06
2,1394,15.5,CSH,60,0,10019-6237,Manhattan,NY,2013-05-15
2,1498,15.7,CSH,61,0,10011-2457,Manhattan,NY,2013-11-30
2,1359,13.2,CSH,55,0,10013-3442,Manhattan,NY,2013-04-12
1,5820,15.92,CSH,94,0,10012-2703,Prince,NY,2013-05-22
1,1686,16.2,CSH,63,0,10003-5704,Manhattan,NY,2013-02-17
2,1919,19.5,CSH,71,0,10036-1495,Manhattan,NY,2013-09-03
2,1575,17.4,CSH,65,0,10036-1380,Manhattan,NY,2013-05-26
1,1920,17.1,CRD,65,0,10019-1109,Manhattan,NY,2013-08-09
2,3629,21.8,CRD,69,1,10280-1128,Jersey City,NY,2013-05-01
1,1126,0,CRD,55,0,10007-2910,Manhattan,NY,2013-04-24
1,2520,17.46,CRD,71,0,10016-2504,Manhattan,NY,2013-08-07
1,2664,22.3,NOC,63,1,10009-4595,Manhattan,NY,2013-07-27
1,757,4.3,DIS,0,0,10003-7166,Prince,NY,2013-08-19
1,1034,0.4,NOC,3,1,10017-5418,New York,NY,2013-10-29
1,901,5.1,DIS,45,0,10022-5231,Franklin D Roosevelt,NY,2013-10-05
1,2472,16.6,NOC,0,0,10022-1601,New York,NY,2013-08-06
1,51,0,NOC,37,0,07086-5623,Summit Avenue,NJ,2013-01-10
1,1459,17.8,NOC,52,1,10011-8021,Manhattan,NY,2013-05-26
1,3657,19.4,DIS,52,1,11430-0672,Springfield Gardens,NY,2013-07-12
1,2345,10.6,NOC,9,1,10023-6241,Manhattan,NY,2013-08-29
2,2220,17.9,CRD,52,1,11430-1002,Springfield Gardens,NY,2013-08-30
3,43,0.8,CRD,112,0,07417-2806,Franklin Lakes,NJ,2013-05-27
